epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,7520.36,0.78578,0.42504,0.98458,0.98882,0.97809,0.98923,0.81385,0.71818,0.34588,0.9763,0.004159,0.004159,0.004159
61,7642.18,0.77902,0.42492,0.9792,0.9858,0.97964,0.98906,0.7955,0.71921,0.35035,0.97502,0.00406,0.00406,0.00406
62,7760.31,0.76607,0.41823,0.97759,0.98952,0.98137,0.98954,0.78852,0.71324,0.33922,0.98009,0.003961,0.003961,0.003961
63,7878.37,0.76728,0.41928,0.97136,0.99176,0.98342,0.99036,0.813,0.69974,0.33073,0.96558,0.003862,0.003862,0.003862
64,7995.6,0.75875,0.40412,0.97625,0.9929,0.98731,0.99081,0.81686,0.69662,0.32211,0.96497,0.003763,0.003763,0.003763
65,8116.9,0.74997,0.40246,0.95998,0.9925,0.98344,0.99118,0.8101,0.69753,0.32749,0.96678,0.003664,0.003664,0.003664
66,8234.18,0.76835,0.40609,0.96829,0.99015,0.98552,0.99173,0.81715,0.71176,0.32593,0.97077,0.003565,0.003565,0.003565
67,8353.81,0.77522,0.41323,0.97941,0.99065,0.98383,0.99108,0.80807,0.70755,0.33278,0.96253,0.003466,0.003466,0.003466
68,8470.57,0.75707,0.39943,0.97141,0.98917,0.98392,0.98937,0.80501,0.69383,0.32491,0.9683,0.003367,0.003367,0.003367
69,8588.06,0.74905,0.40368,0.97077,0.98694,0.98238,0.98936,0.81329,0.69546,0.32677,0.97101,0.003268,0.003268,0.003268
70,8705.22,0.75814,0.39543,0.97473,0.99223,0.98478,0.99056,0.80856,0.68539,0.31056,0.96149,0.003169,0.003169,0.003169
71,8822.99,0.74822,0.3963,0.97074,0.98696,0.98663,0.99186,0.80306,0.70264,0.3207,0.96377,0.00307,0.00307,0.00307
72,8940.15,0.74677,0.39414,0.96839,0.98993,0.98606,0.99111,0.80121,0.69054,0.32465,0.96976,0.002971,0.002971,0.002971
73,9058.99,0.75317,0.3958,0.97643,0.99253,0.98686,0.99095,0.80855,0.68034,0.31154,0.96178,0.002872,0.002872,0.002872
74,9177.12,0.73241,0.39167,0.96596,0.98713,0.98923,0.99173,0.80538,0.68898,0.31298,0.96234,0.002773,0.002773,0.002773
75,9295.59,0.72932,0.38369,0.95942,0.9929,0.98716,0.99074,0.80746,0.68358,0.31007,0.96732,0.002674,0.002674,0.002674
76,9413.74,0.725,0.38067,0.96207,0.98972,0.9896,0.99121,0.80941,0.6792,0.30591,0.9568,0.002575,0.002575,0.002575
77,9531.6,0.73552,0.37926,0.96024,0.99079,0.98812,0.99122,0.8092,0.69326,0.30633,0.96042,0.002476,0.002476,0.002476
78,9650.15,0.72769,0.38278,0.95459,0.99215,0.98591,0.99168,0.80173,0.68054,0.31035,0.95945,0.002377,0.002377,0.002377
79,9767.98,0.73426,0.37983,0.9652,0.98811,0.98787,0.99059,0.80852,0.68326,0.30298,0.9603,0.002278,0.002278,0.002278
80,9885.87,0.71393,0.36481,0.9589,0.99307,0.98812,0.99085,0.82216,0.67163,0.29481,0.95804,0.002179,0.002179,0.002179
81,10005.2,0.72099,0.37134,0.95603,0.99218,0.98589,0.9906,0.82292,0.67547,0.303,0.96123,0.00208,0.00208,0.00208
82,10125.8,0.74071,0.37663,0.96808,0.99216,0.98715,0.99121,0.81642,0.67056,0.2939,0.95554,0.001981,0.001981,0.001981
83,10243.7,0.69985,0.36071,0.94588,0.99172,0.98589,0.99107,0.81782,0.66831,0.29363,0.95645,0.001882,0.001882,0.001882
84,10361.3,0.71846,0.3613,0.95622,0.99401,0.98547,0.99101,0.82791,0.66076,0.28797,0.95204,0.001783,0.001783,0.001783
